region_safe	region_id	source	notes
r00087_2_14642347_38359898	m2_region_00087	m2_union	synthetic slug; M2 region union
r00088__sub00_2_38615219_46208250	m2_region_00088__sub00	m2_union	synthetic slug; M2 region union
r00088__sub01_2_40208250_50801281	m2_region_00088__sub01	m2_union	synthetic slug; M2 region union
r00088__sub02_2_44801281_55394312	m2_region_00088__sub02	m2_union	synthetic slug; M2 region union
r00088__sub03_2_49394312_59987343	m2_region_00088__sub03	m2_union	synthetic slug; M2 region union
r00088__sub04_2_53987343_64580374	m2_region_00088__sub04	m2_union	synthetic slug; M2 region union
r00088__sub05_2_58580374_69173405	m2_region_00088__sub05	m2_union	synthetic slug; M2 region union
r00088__sub06_2_63173405_73766436	m2_region_00088__sub06	m2_union	synthetic slug; M2 region union
r00088__sub07_2_67766436_78359467	m2_region_00088__sub07	m2_union	synthetic slug; M2 region union
r00088__sub08_2_72359467_82952498	m2_region_00088__sub08	m2_union	synthetic slug; M2 region union
r00088__sub09_2_76952498_87545529	m2_region_00088__sub09	m2_union	synthetic slug; M2 region union
r00088__sub10_2_81545529_89138567	m2_region_00088__sub10	m2_union	synthetic slug; M2 region union
r00089_2_94661005_122259370	m2_region_00089	m2_union	synthetic slug; M2 region union
r00090_2_123405640_129309507	m2_region_00090	m2_union	synthetic slug; M2 region union
r00091_2_129780608_140487181	m2_region_00091	m2_union	synthetic slug; M2 region union
r00092_2_140535577_148932974	m2_region_00092	m2_union	synthetic slug; M2 region union
r00093_2_149364679_185263394	m2_region_00093	m2_union	synthetic slug; M2 region union
r00094_2_185342666_188863283	m2_region_00094	m2_union	synthetic slug; M2 region union
r00095_2_189581965_194089734	m2_region_00095	m2_union	synthetic slug; M2 region union
r00096_2_194116982_234770905	m2_region_00096	m2_union	synthetic slug; M2 region union
r00097_2_234893228_242147448	m2_region_00097	m2_union	synthetic slug; M2 region union
r00098_20_79359_26338509	m2_region_00098	m2_union	synthetic slug; M2 region union
r00099_20_30185044_64333666	m2_region_00099	m2_union	synthetic slug; M2 region union
r00100_21_13700538_18948124	m2_region_00100	m2_union	synthetic slug; M2 region union
r00101_21_19941086_24464143	m2_region_00101	m2_union	synthetic slug; M2 region union
