region_id	ancestry	region_class	window_span_mb	n_var	routed_path	est_block_count	est_output_gib	over_threshold
m2_region_00040__sub14	AFR	medium	10.9348	75497	A.3	99.04181841876033	6.255049976611316	False
m2_region_00040__sub14	EUR	medium	14.9348	59661	A.3	75.3275492935113	4.766640168331963	False
m2_region_00040__sub15	AFR	medium	10.9348	77816	A.3	99.04181841876033	6.6452175076304725	False
m2_region_00040__sub15	EUR	medium	14.9348	58732	A.3	75.3275492935113	4.619350239960093	False
m2_region_00040__sub16	AFR	medium	10.9348	83839	A.3	120.99014383011996	7.713714735968504	False
m2_region_00040__sub16	EUR	medium	14.8696	60491	A.3	75.65791110726731	4.921679711883914	False
m2_region_00040__sub17	AFR	medium	7.9348	60467	A.2	85.0684460717093	5.529461227881732	False
m2_region_00040__sub17	EUR	medium	9.9348	41638	A.2	60.5	3.467446088	False
m2_region_00041	AFR	small	2.0	20461	A.1	12.5	0.837305042	False
m2_region_00041	EUR	small	2.0	10806	A.1	4.5	0.233539272	False
m2_region_00042	AFR	small	4.6739	43690	A.1	60.5	3.8176322	False
m2_region_00042	EUR	small	4.6739	23751	A.1	18.0	1.128220002	False
m2_region_00043	AFR	large	25.3198	211373	A.3	1352.0	89.357090258	True
m2_region_00043	EUR	large	25.3198	117367	A.3	420.5	27.550025378	True
m2_region_00044	AFR	small	3.7167	27112	A.1	24.5	1.470121088	False
m2_region_00044	EUR	small	3.7167	14685	A.1	8.0	0.43129845	False
m2_region_00045	AFR	medium	22.1595	155601	A.3	722.0	48.423342402	True
m2_region_00045	EUR	medium	22.1595	90691	A.3	264.5	16.449714962	True
m2_region_00046	AFR	medium	21.593	166449	A.3	840.5	55.410539202	True
m2_region_00046	EUR	medium	21.593	93576	A.3	264.5	17.512935552	True
m2_region_00047	AFR	medium	7.1542	54576	A.2	98.0	5.957079552	False
m2_region_00047	EUR	medium	7.1542	30450	A.2	32.0	1.854405	False
m2_region_00048	AFR	medium	14.4345	123967	A.3	480.5	30.735634178	True
m2_region_00048	EUR	medium	14.4345	67305	A.3	144.5	9.05992605	False
m2_region_00049	AFR	medium	7.0616	55929	A.2	98.0	6.256106082	False
m2_region_00049	EUR	medium	7.0616	30841	A.2	32.0	1.902334562	False
m2_region_00050	AFR	medium	15.4803	118941	A.3	450.0	28.293922962	True
m2_region_00050	EUR	medium	15.4803	64562	A.3	128.0	8.336503688	False
m2_region_00051	AFR	small	2.1937	18315	A.1	12.5	0.67087845	False
m2_region_00051	EUR	small	2.1937	9759	A.1	4.5	0.190476162	False
m2_region_00052	AFR	small	3.1061	25396	A.1	24.5	1.289913632	False
m2_region_00052	EUR	small	3.1061	14298	A.1	8.0	0.408865608	False
m2_region_00053	AFR	medium	6.6022	49996	A.2	84.5	4.999200032	False
m2_region_00053	EUR	medium	6.6022	27117	A.2	24.5	1.470663378	False
m2_region_00054	AFR	medium	9.9169	70559	A.2	162.0	9.957144962	True
m2_region_00054	EUR	medium	9.9169	39803	A.2	50.0	3.168557618	False
m2_region_00055	AFR	medium	17.4294	129110	A.3	512.0	33.3387842	True
m2_region_00055	EUR	medium	17.4294	72874	A.3	162.0	10.621239752	True
m2_region_00056	AFR	medium	22.3622	180126	A.3	968.0	64.890751752	True
m2_region_00056	EUR	medium	22.3622	97854	A.3	288.0	19.150810632	True
m2_region_00057	AFR	small	1.1769	2856	A.1	0.5	0.016313472	False
m2_region_00057	EUR	small	1.1769	1097	A.1	0.5	0.002406818	False
m2_region_00058	AFR	small	3.4603	19313	A.1	12.5	0.745983938	False
m2_region_00058	EUR	small	3.4603	9913	A.1	4.5	0.196535138	False
m2_region_00059	AFR	small	2.9343	25476	A.1	24.5	1.298053152	False
m2_region_00059	EUR	small	2.9343	13702	A.1	8.0	0.375489608	False
m2_region_00060__sub00	AFR	medium	7.6464	52228	A.2	66.30540899124887	4.280840392679726	False
m2_region_00060__sub00	EUR	medium	9.6464	36540	A.2	40.5	2.6703432	False
m2_region_00060__sub01	AFR	medium	10.6464	76616	A.3	101.72419218264143	6.616312171351256	False
m2_region_00060__sub01	EUR	medium	14.2929	53843	A.3	68.5656554631785	4.056664125539517	False
m2_region_00060__sub02	AFR	medium	10.6464	73065	A.3	91.29816694508538	6.017218975178077	False
m2_region_00060__sub02	EUR	medium	14.6464	55718	A.3	66.91048026362729	4.239250744635128	False
m2_region_00060__sub03	AFR	medium	10.6464	69922	A.3	91.29816694508538	5.510674043283033	False
m2_region_00060__sub03	EUR	medium	14.6464	51653	A.3	57.693220227311286	3.6432516294920916	False
m2_region_00060__sub04	AFR	medium	10.6464	78697	A.3	112.71378635195725	6.980610289547628	False
m2_region_00060__sub04	EUR	medium	14.6464	56468	A.3	66.91048026362729	4.3541449151278115	False
m2_region_00060__sub05	AFR	medium	10.6464	85400	A.3	124.26694945303288	8.220396780706405	False
m2_region_00060__sub05	EUR	medium	14.6464	62367	A.3	87.39328034432953	5.3113849056101365	False
m2_region_00060__sub06	AFR	medium	10.6464	89033	A.3	136.3836814858683	8.934681052201983	False
m2_region_00060__sub06	EUR	medium	14.6464	63458	A.3	87.39328034432953	5.498836766762698	False
m2_region_00060__sub07	AFR	medium	10.6464	80737	A.3	112.71378635195725	7.347206649737682	False
m2_region_00060__sub07	EUR	medium	14.6464	59033	A.3	76.81050030263337	4.758693960680534	False
m2_region_00060__sub08	AFR	medium	10.6464	72935	A.3	91.29816694508538	5.995825898528475	False
m2_region_00060__sub08	EUR	medium	14.6464	54318	A.3	66.91048026362729	4.0288918415983135	False
m2_region_00060__sub09	AFR	medium	10.6464	69218	A.3	81.43571063928911	5.400265749802633	False
m2_region_00060__sub09	EUR	medium	14.6464	53245	A.3	57.693220227311286	3.8712902149908834	False
m2_region_00060__sub10	AFR	medium	10.6464	72810	A.3	91.29816694508538	5.975291560038642	False
m2_region_00060__sub10	EUR	medium	14.6464	51739	A.3	57.693220227311286	3.65539344011017	False
m2_region_00060__sub11	AFR	medium	10.6464	76604	A.3	101.72419218264143	6.614239770589874	False
m2_region_00060__sub11	EUR	medium	14.6464	57131	A.3	66.91048026362729	4.4569906069292635	False
m2_region_00060__sub12	AFR	medium	10.6464	80028	A.3	112.71378635195725	7.218732787829917	False
m2_region_00060__sub12	EUR	medium	14.2929	61479	A.3	89.55507917228718	5.288881514432361	False
m2_region_00060__sub13	AFR	medium	7.6464	69802	A.2	127.11789596341829	7.646406983637494	False
m2_region_00060__sub13	EUR	medium	9.6464	43171	A.2	60.5	3.727470482	False
m2_region_00061	AFR	medium	8.2527	72979	A.2	162.0	10.651868882	True
m2_region_00061	EUR	medium	8.2527	39733	A.2	50.0	3.157422578	False
m2_region_00062	AFR	medium	8.0113	86719	A.2	242.0	15.040369922	True
m2_region_00062	EUR	medium	8.0113	45618	A.2	72.0	4.162003848	False
m2_region_00063	AFR	medium	14.0213	109335	A.3	364.5	23.90828445	True
m2_region_00063	EUR	medium	14.0213	60171	A.3	112.5	7.241098482	False
m2_region_00064	AFR	small	3.3296	24155	A.1	18.0	1.16692805	False
m2_region_00064	EUR	small	3.3296	14071	A.1	8.0	0.395986082	False
m2_region_00065	AFR	medium	6.5065	32102	A.2	32.0	2.061076808	False
m2_region_00065	EUR	medium	6.5065	16295	A.2	8.0	0.53105405	False
m2_region_00066	AFR	small	2.417	6841	A.1	2.0	0.093598562	False
m2_region_00066	EUR	small	2.417	4581	A.1	2.0	0.041971122	False
m2_region_00067	AFR	large	43.8362	371964	A.3	4140.5	276.714434592	True
m2_region_00067	EUR	large	43.8362	201833	A.3	1250.0	81.473119778	True
m2_region_00068	AFR	medium	22.6132	177791	A.3	968.0	63.219279362	True
m2_region_00068	EUR	medium	22.6132	96367	A.3	288.0	18.573197378	True
m2_region_00069	AFR	large	26.1591	167659	A.3	840.5	56.219080562	True
m2_region_00069	EUR	large	26.1591	90665	A.3	264.5	16.44028445	True
m2_region_00070	AFR	medium	8.7497	57257	A.2	98.0	6.556728098	False
m2_region_00070	EUR	medium	8.7497	29411	A.2	32.0	1.730013842	False
m2_region_00071	AFR	medium	20.7755	169803	A.3	882.0	57.666117618	True
m2_region_00071	EUR	medium	20.7755	90199	A.3	264.5	16.271719202	True
m2_region_00072	AFR	medium	15.4006	136337	A.3	578.0	37.175555138	True
