pathway	magma_beta	magma_p	magma_q	gprofiler_p	gprofiler_q	ldsc_h2_frac	ldsc_enrichment	ldsc_p	n_methods_significant	geometric_mean_p	consensus_rank
GOBP_REGULATION_OF_CD4_POSIT...2	0.6974	0.000000	0.000009	NA	NA	NA	NA	NA	1	0.000000	82
GOBP_REGULATION_OF_CELL_ACTI...	0.3191	0.000000	0.000000	NA	NA	NA	NA	NA	1	0.000000	83
GOBP_REGULATION_OF_GROWTH	0.2261	0.000000	0.000450	NA	NA	NA	NA	NA	1	0.000000	84
GOBP_REGULATION_OF_HEMOPOIES...	0.2677	0.000000	0.000013	NA	NA	NA	NA	NA	1	0.000000	85
GOBP_REGULATION_OF_IMMUNE_EF...	0.2988	0.000000	0.000003	NA	NA	NA	NA	NA	1	0.000000	86
GOBP_REGULATION_OF_IMMUNE_RE...	0.2179	0.000000	0.000000	NA	NA	NA	NA	NA	1	0.000000	87
GOBP_REGULATION_OF_IMMUNE_SY...	0.2150	0.000000	0.000000	NA	NA	NA	NA	NA	1	0.000000	88
GOBP_REGULATION_OF_IMMUNOGLO...	0.6985	0.000000	0.000000	NA	NA	NA	NA	NA	1	0.000000	89
GOBP_REGULATION_OF_INFLAMMAT...1	0.2577	0.000000	0.000032	NA	NA	NA	NA	NA	1	0.000000	90
GOBP_REGULATION_OF_INSULIN_S...	0.4135	0.000000	0.000450	NA	NA	NA	NA	NA	1	0.000000	91
GOBP_REGULATION_OF_ISOTYPE_S...2	2.2717	0.000000	0.000000	NA	NA	NA	NA	NA	1	0.000000	92
GOBP_REGULATION_OF_LEUKOCYTE...5	0.3002	0.000000	0.000009	NA	NA	NA	NA	NA	1	0.000000	93
GOBP_REGULATION_OF_LEUKOCYTE...6	0.3397	0.000000	0.000024	NA	NA	NA	NA	NA	1	0.000000	94
GOBP_REGULATION_OF_LEUKOCYTE...8	0.4062	0.000000	0.000000	NA	NA	NA	NA	NA	1	0.000000	95
GOBP_REGULATION_OF_LYMPHOCYT...1	0.3122	0.000000	0.000000	NA	NA	NA	NA	NA	1	0.000000	96
GOBP_REGULATION_OF_LYMPHOCYT...4	0.3848	0.000000	0.000001	NA	NA	NA	NA	NA	1	0.000000	97
GOBP_REGULATION_OF_PEPTIDE_T...	0.3739	0.000000	0.000450	NA	NA	NA	NA	NA	1	0.000000	98
GOBP_REGULATION_OF_PRODUCTIO...	0.4657	0.000000	0.000000	NA	NA	NA	NA	NA	1	0.000000	99
GOBP_REGULATION_OF_RESPONSE_...5	0.1753	0.000000	0.000004	NA	NA	NA	NA	NA	1	0.000000	100
GOBP_REGULATION_OF_TYPE_2_IM...	0.9969	0.000000	0.000003	NA	NA	NA	NA	NA	1	0.000000	101
GOBP_REGULATION_OF_T_CELL_AC...1	0.3195	0.000000	0.000000	NA	NA	NA	NA	NA	1	0.000000	102
GOBP_RESPONSE_TO_MONOSACCHAR...	0.3633	0.000000	0.000284	NA	NA	NA	NA	NA	1	0.000000	103
GOBP_RESPONSE_TO_PEPTIDE	0.1725	0.000000	0.000036	NA	NA	NA	NA	NA	1	0.000000	104
GOBP_SYNAPSE_ASSEMBLY	0.5488	0.000000	0.000006	NA	NA	NA	NA	NA	1	0.000000	105
GOBP_SYNAPSE_ORGANIZATION	0.3108	0.000000	0.000170	NA	NA	NA	NA	NA	1	0.000000	106
GOBP_TRANS_SYNAPTIC_SIGNALIN...3	2.5564	0.000000	0.000027	NA	NA	NA	NA	NA	1	0.000000	107
GOBP_TUBE_MORPHOGENESIS	0.2578	0.000000	0.000127	NA	NA	NA	NA	NA	1	0.000000	108
GOBP_TYPE_2_IMMUNE_RESPONSE	0.8985	0.000000	0.000002	NA	NA	NA	NA	NA	1	0.000000	109
GOBP_T_CELL_ACTIVATION	0.3578	0.000000	0.000000	NA	NA	NA	NA	NA	1	0.000000	110
GOBP_T_CELL_ACTIVATION_INVOL...	0.4900	0.000000	0.000001	NA	NA	NA	NA	NA	1	0.000000	111
GOBP_T_CELL_DIFFERENTIATION	0.4423	0.000000	0.000000	NA	NA	NA	NA	NA	1	0.000000	112
GOBP_T_CELL_DIFFERENTIATION_...1	0.6244	0.000000	0.000000	NA	NA	NA	NA	NA	1	0.000000	113
GOBP_T_CELL_SELECTION	0.7167	0.000000	0.000000	NA	NA	NA	NA	NA	1	0.000000	114
H3K27ac_HniszL2_0	NA	NA	NA	NA	NA	0.752998	1.9355	0.000000	1	0.000000	115
H3K27ac_PGC2L2_0	NA	NA	NA	NA	NA	0.612243	2.2801	0.000000	1	0.000000	116
H3K4me1_TrynkaL2_0	NA	NA	NA	NA	NA	0.781163	1.8447	0.000000	1	0.000000	117
H3K4me3_TrynkaL2_0	NA	NA	NA	NA	NA	0.412695	3.1056	0.000000	1	0.000000	118
H3K9ac_TrynkaL2_0	NA	NA	NA	NA	NA	0.561292	4.4795	0.000000	1	0.000000	119
Human_Enhancer_Villar_Species_Enhancer_CountL2_0	NA	NA	NA	NA	NA	0.328442	4.9551	0.000000	1	0.000000	120
KEGG_ALLOGRAFT_REJECTION	1.0036	0.000000	0.000005	NA	NA	NA	NA	NA	1	0.000000	121
KEGG_ASTHMA	1.1278	0.000000	0.000002	NA	NA	NA	NA	NA	1	0.000000	122
KEGG_GRAFT_VERSUS_HOST_DISEA...	0.9285	0.000000	0.000015	NA	NA	NA	NA	NA	1	0.000000	123
KEGG_HEMATOPOIETIC_CELL_LINE...	0.5944	0.000000	0.000042	NA	NA	NA	NA	NA	1	0.000000	124
KEGG_INTESTINAL_IMMUNE_NETWO...	0.7994	0.000000	0.000031	NA	NA	NA	NA	NA	1	0.000000	125
KEGG_JAK_STAT_SIGNALING_PATH...	0.5272	0.000000	0.000001	NA	NA	NA	NA	NA	1	0.000000	126
KEGG_MATURITY_ONSET_DIABETES...	1.0272	0.000000	0.000284	NA	NA	NA	NA	NA	1	0.000000	127
MAF_Adj_ASMCL2_0	NA	NA	NA	NA	NA	-0.468841	19963185116280.9883	0.000000	1	0.000000	128
MAF_Adj_LLD_AFRL2_0	NA	NA	NA	NA	NA	-0.411920	-147.2999	0.000000	1	0.000000	129
MAF_Adj_Predicted_Allele_AgeL2_0	NA	NA	NA	NA	NA	-0.319499	-94179.7120	0.000000	1	0.000000	130
MAFbin1L2_0	NA	NA	NA	NA	NA	0.044798	0.4377	0.000000	1	0.000000	131
MAFbin2L2_0	NA	NA	NA	NA	NA	0.053911	0.5399	0.000000	1	0.000000	132
MAFbin3L2_0	NA	NA	NA	NA	NA	0.056220	0.5644	0.000000	1	0.000000	133
Nucleotide_Diversity_10kbL2_0	NA	NA	NA	NA	NA	3.859296	0.8374	0.000000	1	0.000000	134
REACTOME_CYTOKINE_SIGNALING_...	0.2847	0.000000	0.000000	NA	NA	NA	NA	NA	1	0.000000	135
REACTOME_DEGRADATION_OF_BETA...	0.9068	0.000000	0.000029	NA	NA	NA	NA	NA	1	0.000000	136
REACTOME_DISEASES_OF_SIGNAL_...	0.3280	0.000000	0.000143	NA	NA	NA	NA	NA	1	0.000000	137
REACTOME_INTERLEUKIN_2_FAMIL...	1.1962	0.000000	0.000000	NA	NA	NA	NA	NA	1	0.000000	138
REACTOME_INTERLEUKIN_2_SIGNA...	1.7545	0.000000	0.000003	NA	NA	NA	NA	NA	1	0.000000	139
REACTOME_INTERLEUKIN_RECEPTO...	1.0823	0.000000	0.000046	NA	NA	NA	NA	NA	1	0.000000	140
REACTOME_INTRACELLULAR_SIGNA...	0.4668	0.000000	0.000013	NA	NA	NA	NA	NA	1	0.000000	141
REACTOME_MECP2_REGULATES_TRA...1	4.3724	0.000000	0.000308	NA	NA	NA	NA	NA	1	0.000000	142
REACTOME_REGULATION_OF_BETA_...	0.8902	0.000000	0.000054	NA	NA	NA	NA	NA	1	0.000000	143
REACTOME_RUNX3_REGULATES_BCL...	3.2954	0.000000	0.000000	NA	NA	NA	NA	NA	1	0.000000	144
REACTOME_SIGNALING_BY_INTERL...	0.3490	0.000000	0.000000	NA	NA	NA	NA	NA	1	0.000000	145
SuperEnhancer_HniszL2_0	NA	NA	NA	NA	NA	0.400525	2.3954	0.000000	1	0.000000	146
CUSTOM_GLUCOSE_METABOLISM	1.0410	0.000001	0.000700	NA	NA	NA	NA	NA	1	0.000001	147
GOBP_ACYLGLYCEROL_HOMEOSTASIS	0.7579	0.000001	0.000700	NA	NA	NA	NA	NA	1	0.000001	148
GOBP_ANATOMICAL_STRUCTURE_FO...	0.2040	0.000001	0.000503	NA	NA	NA	NA	NA	1	0.000001	149
GOBP_BLOOD_VESSEL_REMODELING	0.9831	0.000001	0.001031	NA	NA	NA	NA	NA	1	0.000001	150
GOBP_CYTOKINE_PRODUCTION_INV...1	0.4751	0.000001	0.000117	NA	NA	NA	NA	NA	1	0.000001	151
GOBP_DEVELOPMENT_OF_PRIMARY_...1	0.4743	0.000001	0.000795	NA	NA	NA	NA	NA	1	0.000001	152
